ab,Message!String,abort with message,
ad,Mode!Enum,adjust lines: 'l'eft&commac'r'ight&commac'c'enter&commac'b'oth&commac'n'one,
af,Dest!Register&Src!Format,assign format to a number register,
aln,New!Register&Old!Register,alias name for a number register,
als,New!Macro&String&commacOld!Macro&String,alias name for a string or macro,
am,Name!Macro,append to a macro,
am1,Name!Macro,append to a macro&commacadding a newline at the end,
ami,Name!Macro,append to a macro with an indent,
ami1,Name!Macro,append to a macro with an indent and add a newline at the end,
as,Register!String&Text!String,append to a string register,
as1,Register!String&Text!String,append to a string register&commacadding a newline at the end,
asciify,Text!String,convert a string to ASCII,
backtrace,None,print stack trace of macros and diversions,
bd,Font!String&Space!Number,embolden a font by overstriking,
blm,Macro!Macro,set the macro to invoke at the bottom of the page,
box,Height!Number&Width!Number,draw a box,
bp,Page!Number?,begin a new page,
br,None,insert a line break,
break,None,synonym for .br,
brp,None,break and output a page,
c2,Character!Char,change nobreak control character,
cc,Character!Char,change control character,
ce,Lines!Number?,center text,
cf,Filename!String,copy file to output,
cflags,Flag!Number,set character flags,
ch,Macro!Macro&Position!Number,schedule macro for execution at a position,
char,Name!String&Description!String,define a character,
chop,Register!Register&Length!Number,chop characters from a string register,
class,Class!Number&Members!String,define a character class,
close,File!String,close a previously opened file,
color,Color!String,set output color,
composite,Dest!Register&Src!Register,composite two characters,
continue,None,continue interrupted text,
cp,Percentage!Number,compatibility mode percentage,
cs,Font!String&Space!Number&Stretch!Number,constant space width,
cu,Lines!Number?,underline text,
da,Register!Register?,define a diversion (append mode),
de,Macro!Macro,define or redefine a macro,
de1,Macro!Macro,define a macro&commacadding a newline at the end,
defcolor,Name!String&Model!String&Components!String,define a color,
dei,Macro!Macro,define an indirect macro,
dei1,Macro!Macro,define an indirect macro with newline,
device,Name!String,specify output device,
devicem,Name!String,specify output device mode,
di,Register!Register?,divert output to a register,
do,String!String,execute a diversions,
ds,Name!String&Content!String,define or redefine a string,
ds1,Name!String&Content!String,define a string with a newline at the end,
dt,Tabset!String,set tab stops dynamically,
ec,Character!Char,end of change character,
ecr,None,reset escape character,
ecs,None,save current escape character,
el,None,else part of if-else condition,
em,Macro!Macro,set end of input trap macro,
eo,None,turn off escape mechanism,
ev,Environment!Number,switch environment,
evc,Environment!Number,switch environment conditionally,
ex,None,exit from groff,
fam,Family!String,set font family,
fc,Char!Char&Char!Char?,set field delimiters,
fchar,Name!String&Description!String,define a fallback character,
fcolor,Color!String,set fill color,
fi,None,fill text,
fl,None,flush output,
fp,Font!Number&Name!String,mount font,
fschar,Name!String&Description!String,define a fallback space character,
fspecial,Name!String,designate a special font,
ft,Font!String?,set font,
ftr,Original!String&Replacement!String,translate font,
fzoom,Font!String&X-Mag!Number&Y-Mag!Number,zoom a font,
gcolor,Color!String,set glyph color,
hc,Char!Char,set hyphenation character,
hcode,Code!String,set hyphenation code,
hla,Language!String,set hyphenation language,
